"ID","Title","Assigned To","Case ID","Comment","Defects","Elapsed","Forecast","In Progress","Plan","Plan ID","Priority","References","Run","Run Configuration","Run ID","Section","Section Depth","Section Description","Status","Tested By","Tested On","Type","Version"
"ID","Title","Assigned To","Case ID","Comment","Defects","Elapsed","Forecast","In Progress","Plan","Plan ID","Priority","References","Run","Run Configuration","Run ID","Section","Section Depth","Section Description","Status","Tested By","Tested On","Type","Version"
"T28886317","Standard profile user - Validate global navigation menu","Shuan Wang","C2478610","","","","","","[Roku] 5/2 GD CUJs","R106504","P0","GQA-2600, GQA-1876","Approved P0","Roku 4k TV","R106674","Global Navigation","1","","Passed","Shuan Wang","5/5/2023 12:57 AM","Regression",""
"T28886318","Kids profile user - Validate global navigation menu","Shuan Wang","C2478611","","","","","","[Roku] 5/2 GD CUJs","R106504","P0","GQA-2600, GQA-1876","Approved P0","Roku 4k TV","R106674","Global Navigation","1","","Passed","Shuan Wang","5/4/2023 5:16 PM","Regression",""
"T28886322","Remove shows from My Stuff > My List tab using asset tiles","Shuan Wang","C2478621","","","","","","[Roku] 5/2 GD CUJs","R106504","P0","GQA-2755, GQA-2760","Approved P0","Roku 4k TV","R106674","My Stuff","1","","Passed","Shuan Wang","5/5/2023 12:59 AM","Regression",""
"T28886321","Authenticated new user-Verify My list functionality","Shuan Wang","C2478616","","","","","","[Roku] 5/2 GD CUJs","R106504","P0","GQA-2760","Approved P0","Roku 4k TV","R106674","My Stuff","1","","Passed","Shuan Wang","5/5/2023 1:00 AM","Regression",""
"T28886333","Validate Continue watching rail update behavior on Homepage","Shuan Wang","C2607139","","","","","","[Roku] 5/2 GD CUJs","R106504","P0","GQA-2823","Approved P0","Roku 4k TV","R106674","Continue Watching","1","","Passed","Shuan Wang","5/5/2023 1:04 AM","Regression",""
"T28886315","Validate SIGN IN with multi user profile","Shuan Wang","C2478602","","","","","","[Roku] 5/2 GD CUJs","R106504","P0","GQA-2054","Approved P0","Roku 4k TV","R106674","Onboarding, Registration and Sign in","1","","Passed","Shuan Wang","5/4/2023 4:24 PM","Regression",""
"T28886328","Verify Signout from setting page","Shuan Wang","C2483786","","","","","","[Roku] 5/2 GD CUJs","R106504","P0","GQA-2686, GQA-2744","Approved P0","Roku 4k TV","R106674","Onboarding, Registration and Sign in","1","","Passed","Shuan Wang","5/5/2023 1:04 AM","Regression",""
"T28886316","Validate Lapsed/Inactive Subscription screen when user is signed in with lapsed user account","Shuan Wang","C2478606","","","","","","[Roku] 5/2 GD CUJs","R106504","P0","GQA-2046, GQA-2313","Approved P0","Roku 4k TV","R106674","Onboarding, Registration and Sign in","1","","Passed","Shuan Wang","5/5/2023 1:38 AM","Regression",""
"T28886332","MVPD Sign In (3rd Party Credentials)] Lapsed MVPD User Chooses to Connect to a new MVPD Provider With a New BEAM Account","","C2606569","","GCX-24345","","","","[Roku] 5/2 GD CUJs","R106504","P0","GQA-2030","Approved P0","Roku 4k TV","R106674","MVPD","1","","Failed","Shuan Wang","5/5/2023 1:08 AM","Regression",""
"T28886338","TV Code MVPD Sign In - Lapsed User Chooses to Renew via IAP Flow","","C2611133","There is no Mock partner or person with credentials to revoke partner access in PRD.
The only env this can be tested is INT","","","","","[Roku] 5/2 GD CUJs","R106504","P0","GQA-2177, GQA-2317","Approved P0","Roku 4k TV","R106674","MVPD","1","","Blocked","Shuan Wang","5/5/2023 1:08 AM","Regression",""
"T28886337","MVPD Sign In (3rd Party Credentials) Lapsed MVPD User Chooses To Renew Subscription via DTC Flow","","C2611107","There is no Mock partner or person with credentials to revoke partner access in PRD.
The only env this can be tested is INT","","","","","[Roku] 5/2 GD CUJs","R106504","P0","GQA-2035, GQA-2208","Approved P0","Roku 4k TV","R106674","MVPD","1","","Blocked","Shuan Wang","5/5/2023 1:09 AM","Regression",""
"T28886344","Validate IAP Happy Path Purchase","","C2621492","","","","","","[Roku] 5/2 GD CUJs","R106504","P0","GQA-2266, GQA-2177, GQA-2091, GQA-2076, GQA-2077, GQA-2078, GQA-2725, GQA-2189","Approved P0","Roku 4k TV","R106674","Subscribe via IAP","2","","Passed","Shuan Wang","5/5/2023 1:10 AM","Regression",""
"T28886329","Change Plan - Upgrade Plan","","C2489270","","GCX-24677","","","","[Roku] 5/2 GD CUJs","R106504","P0","GQA-2295","Approved P0","Roku 4k TV","R106674","Change Plan for IAP","2","","Failed","Shuan Wang","5/5/2023 1:11 AM","Regression",""
