,ID,Title,Assigned To,Case ID,Comment,Defects,Elapsed,Forecast,In Progress,Plan,Plan ID,Platform,Priority,References,Run,Run Configuration,Run ID,Section,Section Depth,Section Description,Status,Tested By,Tested On,Type,Version
0,T30251237,Roku Instant sign up for New Roku user,,C2482574,"ISU is not immediately available for regular regression testing. This requires coordination with Roku and commerce developers

",,,,,[Roku] 5/30 BD&GD CUJs,R111282,Roku,P1,GQA-2279,IAP,Roku 4k TV/Ultra/Express/Stick,R111287,Roku Instant Sign Up,1,,Blocked,Stephanie Kart,6/5/2023 12:35 PM,Regression,
1,T30251259,Roku Instant sign up for existing Roku user,,C2621646,"ISU is not immediately available for regular regression testing. This requires coordination with Roku and commerce developers

",,,,,[Roku] 5/30 BD&GD CUJs,R111282,Roku,P1,GQA-2279,IAP,Roku 4k TV/Ultra/Express/Stick,R111287,Roku Instant Sign Up,1,,Blocked,Stephanie Kart,6/5/2023 12:35 PM,Regression,
2,T30251246,Roku Instant sign up user logged in with Roku auto account link,,C2617280,ISU is not immediately available for regular regression testing. This requires coordination with Roku and commerce developers,,,,,[Roku] 5/30 BD&GD CUJs,R111282,Roku,P1,GQA-2279,IAP,Roku 4k TV/Ultra/Express/Stick,R111287,Roku Instant Sign Up,1,,Blocked,Stephanie Kart,6/5/2023 2:13 PM,Regression,
3,T30251247,Account Password creation page validation on BEAM,,C2617281,Need a 'ghost'/instant signup BEAM user and to be auto logged in to the device,,,,,[Roku] 5/30 BD&GD CUJs,R111282,Roku,P1,GQA-2279,IAP,Roku 4k TV/Ultra/Express/Stick,R111287,Roku Instant Sign Up,1,,Blocked,Stephanie Kart,6/5/2023 12:29 PM,Regression,
4,T30251248,Promo offer check with Roku Instant sign up flow for new Roku users,,C2617282,ISU is not immediately available for regular regression testing. This requires coordination with Roku and commerce developers,,,,,[Roku] 5/30 BD&GD CUJs,R111282,Roku,P1,GQA-2279,IAP,Roku 4k TV/Ultra/Express/Stick,R111287,Roku Instant Sign Up,1,,Blocked,Stephanie Kart,6/5/2023 12:31 PM,Regression,
5,T30251260,Promo offer check with Roku Instant sign up flow for existing Roku users,,C2621648,"ISU is not immediately available for regular regression testing. This requires coordination with Roku and commerce developers
",,,,,[Roku] 5/30 BD&GD CUJs,R111282,Roku,P1,GQA-2279,IAP,Roku 4k TV/Ultra/Express/Stick,R111287,Roku Instant Sign Up,1,,Blocked,Stephanie Kart,6/5/2023 12:31 PM,Regression,
6,T30251274,Roku Instant sign up user kill the app on create password screen,,C2622138,"ISU is not immediately available for regular regression testing. This requires coordination with Roku and commerce developers
Create password for ISU(ghost accounts) was descoped for 5/23 launch and has not been implemented yet",,,,,[Roku] 5/30 BD&GD CUJs,R111282,Roku,P1,GQA-2279,IAP,Roku 4k TV/Ultra/Express/Stick,R111287,Roku Instant Sign Up,1,,Blocked,Stephanie Kart,6/5/2023 12:36 PM,Regression,
7,T30251275,Roku ghost subscribers re-login,,C2622148,Create password flow for user accounts without a password was descoped from the 5/23 launch and has not been implemented yet,,,,,[Roku] 5/30 BD&GD CUJs,R111282,Roku,P1,GQA-2279,IAP,Roku 4k TV/Ultra/Express/Stick,R111287,Roku Instant Sign Up,1,,Blocked,Stephanie Kart,6/5/2023 2:36 PM,Regression,
8,T30251261,Roku passive on hold subscription happy path,,C2621697,"This feature is not regularly available for regression testing.
Need a special private channel build PLUS a Roku with an expired payment method and active monthly Max subscription",,,,,[Roku] 5/30 BD&GD CUJs,R111282,Roku,P1,GQA-2293,IAP,Roku 4k TV/Ultra/Express/Stick,R111287,Roku Pay Passive on Hold,1,,Blocked,Stephanie Kart,6/5/2023 3:52 PM,Regression,
9,T30251262,Email notification for failed renewal,,C2621700,Need a Roku account with an expired payment method AND an active monthly subscription to Max,,,,,[Roku] 5/30 BD&GD CUJs,R111282,Roku,P1,GQA-2293,IAP,Roku 4k TV/Ultra/Express/Stick,R111287,Roku Pay Passive on Hold,1,,Blocked,Stephanie Kart,6/5/2023 3:35 PM,Regression,
10,T30251263,Renewal notification validation  on Roku home screen,,C2621701,"This feature is not regularly available for regression testing.
Need a special private channel build PLUS a Roku with an expired payment method and active monthly Max subscription",,,,,[Roku] 5/30 BD&GD CUJs,R111282,Roku,P1,GQA-2293,IAP,Roku 4k TV/Ultra/Express/Stick,R111287,Roku Pay Passive on Hold,1,,Blocked,Stephanie Kart,6/5/2023 12:34 PM,Regression,
11,T30251264,Renewal notification upon app launch,,C2621702,"This feature is not regularly available for regression testing. 
Need a special private channel build PLUS a Roku with an expired payment method and active monthly Max subscription",,,,,[Roku] 5/30 BD&GD CUJs,R111282,Roku,P1,GQA-2293,IAP,Roku 4k TV/Ultra/Express/Stick,R111287,Roku Pay Passive on Hold,1,,Blocked,Stephanie Kart,6/5/2023 12:34 PM,Regression,
12,T30251265,Roku on hold user experience in BEAM app,,C2621703,Need a Roku account with an expired payment method AND an active monthly subscription to Max,,,,,[Roku] 5/30 BD&GD CUJs,R111282,Roku,P1,GQA-2293,IAP,Roku 4k TV/Ultra/Express/Stick,R111287,Roku Pay Passive on Hold,1,,Blocked,Stephanie Kart,6/5/2023 3:37 PM,Regression,
