"ID","Title","Assigned To","Case ID","Comment","Defects","Elapsed","Forecast","In Progress","Plan","Plan ID","Platform","Priority","References","Run","Run Configuration","Run ID","Section","Section Depth","Section Description","Status","Tested By","Tested On","Type","Version"
"T29504943","Deletion of a user profile","kamila K","C2478625","Tested with the OnePlus 10 Pro Mobile. Able to delete the profile","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2062","Critical User Journey","Android Phone","R109480","User Profiles","0","","Passed","kamila K","5/23/2023 6:11 AM","Regression","1.0.0.104"
"T29505052","PIN prompt when try to access to a locked profile","kamila K","C2621907","","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2056, GQA-2248, GQA-2788","Critical User Journey","Android Phone","R109480","User Profiles","0","","Passed","kamila K","5/23/2023 8:05 AM","Regression","1.0.0.104"
"T29505062","Profiles & Globalization Experience - Forgot PIN - User forgot PIN but knows account password","kamila K","C2622402","","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2263","Critical User Journey","Android Phone","R109480","User Profiles","0","","Passed","kamila K","5/23/2023 8:14 AM","Regression","1.0.0.104"
"T29630124","Adding another profile to trigger Profile limit exceeded on 1 Device","kamila K","C2622424","","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P2","GQA-2069","Critical User Journey","Android Phone","R109480","User Profiles","0","","Passed","kamila K","5/23/2023 8:22 AM","Regression","1.0.0.104"
"T29630125","Deletion of the Default User Profile","kamila K","C2622426","","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P2","GQA-2062","Critical User Journey","Android Phone","R109480","User Profiles","0","","Passed","kamila K","5/23/2023 8:54 AM","Regression","1.0.0.104"
"T29504962","Profiles & Globalization Experience - Avatar Selection","kamila K","C2482299","","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-1815","Critical User Journey","Android Phone","R109480","User Profiles","0","","Passed","kamila K","5/23/2023 8:29 AM","Regression","1.0.0.104"
"T29504961","Profiles & Globalization Experience - Skip Avatar Selection","kamila K","C2482288","","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-1815, GQA-2249","Critical User Journey","Android Phone","R109480","User Profiles","0","","Passed","kamila K","5/23/2023 8:31 AM","Regression","1.0.0.104"
"T29504978","Default Kids Profile - First login: Ratings banner","kamila K","C2606350","Tested on the OnePlus 10 Pro mobile. Able to view the message","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2607","Critical User Journey","Android Phone","R109480","Default Kids Profile","1","","Passed","kamila K","5/23/2023 5:58 AM","Regression","1.0.0.104"
"T29504999","Default Kids Profile - First login: Default ratings","kamila K","C2617214","Tested on the OnePlus mobile. Able to view the Kids default Rating","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2607","Critical User Journey","Android Phone","R109480","Default Kids Profile","1","","Passed","kamila K","5/23/2023 6:00 AM","Regression","1.0.0.104"
"T29505096","Verify that user cannot toggle """"On Kids"""" mode for an adult profile","kamila K","C2625403","","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2650","Critical User Journey","Android Phone","R109480","Default Kids Profile","1","","Passed","kamila K","5/23/2023 8:36 AM","Regression","1.0.0.104"
"T29505104","Parental Controls - Change Content ratings on web device and verify persistence on other device","kamila K","C2672831","","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2601, GQA-2805, GQA-2532","Critical User Journey","Android Phone","R109480","Parental Controls","1","","Passed","kamila K","5/23/2023 8:44 AM","Regression","1.0.0.104"
"T29504981","Parental Controls - Exit Kids Profile Page","kamila K","C2606571","","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2601, GQA-2805, GQA-2532, GQA-2674","Critical User Journey","Android Phone","R109480","Parental Controls","1","","Passed","kamila K","5/23/2023 8:48 AM","Regression","1.0.0.104"
"T29504982","Parental Controls - Enter Parent Code - validate <result> Parent Code","kamila K","C2606600","","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2601, GQA-2805, GQA-2532","Critical User Journey","Android Phone","R109480","Parental Controls","1","","Passed","kamila K","5/23/2023 8:50 AM","Regression","1.0.0.104"
"T29504983","Parental Controls - Turn off Kid-proof Exit","kamila K","C2611042","","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2601, GQA-2805, GQA-2532","Critical User Journey","Android Phone","R109480","Parental Controls","1","","Passed","kamila K","5/23/2023 8:52 AM","Regression","1.0.0.104"
"T29504945","Authenticated user navigates back to My Stuff > My List tab post interaction","kamila K","C2479214","","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2755, GQA-2760","Critical User Journey","Android Phone","R109480","My Stuff","0","My Stuff Test Plan: https://wbdstreaming.atlassian.net/wiki/spaces/GQA/pages/135725445

My Stuff Feature:
https://wbdstreaming.atlassian.net/browse/CD-132","Passed","kamila K","5/23/2023 6:33 AM","Regression","1.0.0.104"
"T29504947","Validate My List rail asset has no limit","kamila K","C2479448","Tested on the One Plus Mobile 10 Pro. Able to view the recently added asset in the first and horizontally","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2818","Critical User Journey","Android Phone","R109480","My Stuff","0","My Stuff Test Plan: https://wbdstreaming.atlassian.net/wiki/spaces/GQA/pages/135725445

My Stuff Feature:
https://wbdstreaming.atlassian.net/browse/CD-132","Passed","kamila K","5/23/2023 7:02 AM","Regression","1.0.0.104"
"T29504963","Add / Remove from My list on <pageName>","kamila K","C2482391","Tested with One Plus 10 Pro. Removed content are not seen on the List rails and My List","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2561","Critical User Journey","Android Phone","R109480","My Stuff","0","My Stuff Test Plan: https://wbdstreaming.atlassian.net/wiki/spaces/GQA/pages/135725445

My Stuff Feature:
https://wbdstreaming.atlassian.net/browse/CD-132","Passed","kamila K","5/23/2023 7:15 AM","Regression","1.0.0.104"
"T29505009","Validating an asset is being added/queued in the order in which it was added","kamila K","C2620746","Most recently added are displayed first","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2818","Critical User Journey","Android Phone","R109480","My Stuff","0","My Stuff Test Plan: https://wbdstreaming.atlassian.net/wiki/spaces/GQA/pages/135725445

My Stuff Feature:
https://wbdstreaming.atlassian.net/browse/CD-132","Passed","kamila K","5/23/2023 7:16 AM","Regression","1.0.0.104"
"T29504990","Authenticated user- Validate the persistence of My list across different profiles when adding a new show","kamila K","C2611977","Tested with One Plus 10 PRO. Added adult content is not displayed in the kids profile","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-1830","Critical User Journey","Android Phone","R109480","My List","0","","Passed","kamila K","5/23/2023 7:25 AM","Regression","1.0.0.104"
"T29504991","Authenticated user- Validate the persistence of My list across different profiles","kamila K","C2612523","Tested with One Plus 10 PRO Mobile","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-1830","Critical User Journey","Android Phone","R109480","My List","0","","Passed","kamila K","5/23/2023 7:31 AM","Regression","1.0.0.104"
"T29505008","Authenticated New User -Validating no My List rail on Home Page","kamila K","C2618646","Tested on the One Plus 10 PRO. For the new user, content not seen My List Rail and My List","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2818","Critical User Journey","Android Phone","R109480","My List","0","","Passed","kamila K","5/23/2023 7:34 AM","Regression","1.0.0.104"
"T29505010","Validating Kids Profile adds/removes assets to My List","kamila K","C2620749","","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2561","Critical User Journey","Android Phone","R109480","My List","0","","Passed","kamila K","5/23/2023 7:50 AM","Regression","1.0.0.104"
"T29505023","Validating My List for Kids Profile - when ratings are changed","kamila K","C2621196","","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2608","Critical User Journey","Android Phone","R109480","My List","0","","Passed","kamila K","5/23/2023 8:03 AM","Regression","1.0.0.104"
"T29505005","Validate: Metadata on Continue Watching on MyStuff page","","C2617503","Passed on tablet","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2815","Critical User Journey","Android Phone","R109480","Continue Watching","0","","Passed","Nathan Sloat","5/24/2023 6:46 PM","Regression",""
"T29505002","Validate: Metadata on Continue Watching on HomePage","","C2617460","Passed on tablet","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","https://discoveryinc.atlassian.net/browse/ALLDTC-279","Critical User Journey","Android Phone","R109480","Continue Watching","0","","Passed","Nathan Sloat","5/24/2023 6:46 PM","Regression",""
"T29504984","Validate: My Stuff > Continue Watching tab behavior","","C2611044","Passed on tablet","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","https://discoveryinc.atlassian.net/browse/ALLDTC-279","Critical User Journey","Android Phone","R109480","Continue Watching","0","","Passed","Nathan Sloat","5/24/2023 6:46 PM","Regression",""
"T29504948","Premier episode tile appears on Continue watching rail when a new episode is added to the service","","C2479457","Passed on tablet","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2826","Critical User Journey","Android Phone","R109480","Continue Watching","0","","Passed","Nathan Sloat","5/24/2023 6:46 PM","Regression",""
